TIme,ws,rad,VWC_2_Avg,T_2_Avg,LE,H,TKE,Precp
6/07/16 01:00:00,0.4661728,-55.35,0.282,5.589,-28.38640373,-23.07593108,0.1537915059,0
6/07/16 01:30:00,1.409648,-60.3,0.282,5.589,-27.596267,-23.69785177,0.2691650246,0
6/07/16 02:00:00,1.866858,-61.15,0.281,4.705,-16.05157498,-30.4071589,0.349522498,0
6/07/16 02:30:00,1.255275,-57.32,0.281,4.705,-3.413157803,-9.120998627,0.3696432524,0
6/07/16 03:00:00,1.26263,-23.21,0.281,4.185,-3.095361037,-4.198913875,0.3027688106,0
6/07/16 03:30:00,0.7435884,-17.22,0.281,4.185,-2.381755724,-3.574975477,0.3511659865,0
6/07/16 04:00:00,0.6584087,-15.27,0.281,5.356,-1.349518359,-1.69357864,0.2579118401,0
6/07/16 04:30:00,0.781904,-11.89,0.281,5.356,-0.5640681214,-2.008400427,0.2229249523,0
6/07/16 05:00:00,0.7705638,-11.13,0.281,5.714,-3.252982121,-3.652531673,0.2027079869,0
6/07/16 05:30:00,0.4581468,-15.39,0.281,5.714,-3.094368869,-5.114956275,0.18620048,0
6/07/16 06:00:00,0.8252494,-16.75,0.281,5.639,-4.478664141,-5.523942061,0.2550342104,0
6/07/16 06:30:00,1.067916,-18.4,0.281,5.639,-3.967472507,-6.233031701,0.3656084335,0
6/07/16 07:00:00,0.6569602,-18.39,0.281,5.61,-4.65336177,-6.201563067,0.1911383181,0.1
6/07/16 07:30:00,0.7987152,-18.8,0.281,5.61,-2.938444878,-3.846460788,0.215703228,0.1
6/07/16 08:00:00,0.7738615,-14.14,0.28,5.8,9.834526978,5.773552046,0.3247954961,0.1
6/07/16 08:30:00,0.7522097,9.14,0.28,5.8,20.28489372,11.14860146,0.4119437679,0
6/07/16 09:00:00,0.6057175,26.52,0.28,6.558,42.42063485,34.05873739,0.3476259923,0
6/07/16 09:30:00,0.9094054,73.46,0.28,6.558,18.97883209,10.76181926,0.4448962774,0.7
6/07/16 10:00:00,0.7926574,27.42,0.28,7.934,64.48323127,67.03155995,0.2157564868,0
6/07/16 10:30:00,0.9154779,130.6,0.28,7.934,112.0134228,104.9340501,0.284644256,0
6/07/16 11:00:00,0.968882,221.6,0.28,8.7,37.07108241,25.82741883,0.5223437319,0.1
6/07/16 11:30:00,1.119763,69.1,0.28,8.7,45.99477018,70.90321264,0.5765910953,0
6/07/16 12:00:00,1.650177,121.5,0.281,9.55,206.5005589,265.5781195,0.8958505084,0
6/07/16 12:30:00,1.664902,492.9,0.281,9.55,137.8736204,129.4837081,0.6818786719,0
6/07/16 13:00:00,2.604328,303.5,0.281,15.83,133.0680239,121.4944605,1.238358218,0
6/07/16 13:30:00,3.70701,301.2,0.281,15.83,-4.681268662,-4.504485118,1.547103644,0.7
6/07/16 14:00:00,1.999067,22.86,0.281,20.02,209.6673943,329.3858716,1.011590736,0.1
