Time,H,LE,ws,wd,air_temp,TKE,rad,VWC_5_avg
19/07/201622:00:00,-40.745,23.567,1.235762891,167.2901758,277.968405,1.666901281,500.3777,0.375
20/07/201600:00:00,-16.51578187,39.38681195,0.992176574,141.1143022,280.9256512,1.318160508,518.8441,0.375
20/07/201600:30:00,-32.15035628,28.19842975,1.014816108,126.9250771,280.8201475,0.734829097,587.1674,0.376
20/07/201601:00:00,-40.65488136,12.08531824,1.159029865,148.8910468,282.3599176,1.00703752,454.5693,0.375
20/07/201601:30:00,-40.88819471,35.78768892,1.776381045,131.9145284,281.2995191,1.559280898,125.7936,0.376
20/07/201602:30:00,-23.10620354,54.34280273,1.385301649,106.7934531,281.3748229,1.373465129,200.5182,0.376
20/07/201603:00:00,-21.78694445,17.89811149,0.913991839,143.0471187,281.416138,0.641798553,223.4634,0.375
20/07/201603:30:00,-52.05156488,59.06616888,1.238727388,150.676459,281.4907848,1.159329485,330.5551,0.375
20/07/201604:00:00,-28.91395502,34.60104074,1.213189512,172.732519,281.3760693,2.017786896,332.5927,0.375
20/07/201604:30:00,-34.0946055,36.67791986,1.2252424,150.9528217,281.6803887,2.808333595,292.7636,0.375
20/07/201605:00:00,-41.43208458,44.43294687,1.750611311,130.0446946,281.9281799,1.823670998,144.2509,0.375
20/07/201605:30:00,-49.28984316,47.73281673,1.631916887,117.2324118,281.5540822,2.535983033,112.2983,0.375
20/07/201606:00:00,-43.72063638,46.97066865,1.492468202,132.4107087,281.8052907,1.220205765,-15.14732,0.375
20/07/201606:30:00,-47.50715784,65.96805617,0.80677497,167.3542782,281.9591907,1.990738706,-27.97843,0.374
20/07/201607:00:00,-57.67467395,84.60464395,1.027878107,127.4101607,282.2965013,2.424624637,-42.10577,0.373
20/07/201607:30:00,-20.55383838,58.66517272,0.233951792,201.1908576,282.2913976,2.713355043,-61.67916,0.372
20/07/201608:00:00,-23.45639571,55.92684349,1.327206509,144.0548519,282.2213321,5.1544304,-69.97521,0.372
20/07/201608:30:00,-40.76653197,111.9183961,0.193020634,207.604984,282.6398861,3.851410831,-77.20041,0.371
20/07/201609:30:00,26.62404412,135.4875639,2.072771565,136.4098504,282.9958573,4.497654051,-71.67364,0.371
20/07/201610:00:00,61.72882584,125.9766925,1.105743099,106.845342,283.1147186,3.644609027,-74.14041,0.37
20/07/201610:30:00,40.87444687,93.49420572,0.52956689,100.3671214,283.3872624,3.46163319,-77.79046,0.37
20/07/201611:00:00,69.83051112,138.0359916,1.609481908,115.1366824,283.9874359,5.005473091,-74.29865,0.369
20/07/201611:30:00,114.1861988,168.9836578,2.352504771,130.327051,284.6244184,3.435458728,-9.016109,0.376
20/07/201612:00:00,151.0054016,215.4571195,2.089278206,128.8187965,284.6194468,3.384659683,-6.428558,0.375
20/07/201612:30:00,166.8730472,223.7373991,2.219142578,137.3932974,285.1804627,5.213649581,-10.90587,0.373
20/07/201613:00:00,202.7317986,278.7039811,2.670892654,128.3799226,285.1850486,5.29915416,-14.76066,0.373
20/07/201613:30:00,114.2078539,215.0893904,2.799315376,137.6436559,285.6718434,4.158909432,-16.62795,0.373
20/07/201614:00:00,174.0655634,239.1667201,0.764316029,94.06430663,286.1315462,4.075931735,-22.64216,0.373
20/07/201614:30:00,150.2624502,194.3072403,1.270265034,35.80205691,286.1061051,2.540160316,-23.37636,0.375
20/07/201615:00:00,47.39145504,126.2506479,0.362356579,331.4552525,285.8102953,1.450858865,-29.01348,0.379
20/07/201615:30:00,30.30490296,100.2159486,0.416068749,34.93925988,286.0047807,2.407971585,-38.11624,0.379
20/07/201616:00:00,24.78817348,122.7551526,1.415653028,342.4216514,286.3738691,3.775458717,-9.950577,0.379
20/07/201616:30:00,23.18509355,70.59613944,1.175564378,8.572223486,286.8163216,2.692687908,10.43815,0.379
20/07/201617:00:00,73.58308121,129.4040435,0.734574019,42.21617028,287.0327388,3.084217777,37.19179,0.379
20/07/201617:30:00,144.6070379,197.1380622,0.80521482,20.42908965,286.9833107,2.793875548,55.6342,0.379
20/07/201618:00:00,53.14460717,125.5866302,0.628847289,102.8641566,286.4502226,3.056063872,123.1119,0.379
20/07/201618:30:00,-11.78214301,93.73340191,0.248782438,127.7179904,285.9957589,3.001835748,77.92209,0.379
20/07/201619:00:00,-41.3010908,80.49552392,1.146558964,102.6737625,285.9125896,4.508219013,107.856,0.379
20/07/201619:30:00,-40.65488136,98.81607658,1.899945442,141.1982633,285.6604179,4.563439974,183.4629,0.379
20/07/201620:00:00,-40.88819471,83.501754,1.936053987,148.4680047,285.3333602,4.074440623,195.0664,0.38
20/07/201620:30:00,-23.10620354,80.16006784,1.237711493,140.0109038,285.0651034,3.906278663,175.1717,0.379
20/07/201621:00:00,-23.6,48.74558513,1.981158919,115.1181399,284.9884063,3.76367303,179.6045,0.379
20/07/201621:30:00,-24.76,46.3867757,1.919895333,127.3398901,284.3200095,5.036443219,222.4637,0.379
20/07/201622:00:00,-26.98,28.98522878,0.841517005,74.42376137,284.4474806,1.379812704,59.61815,0.379
20/07/201622:30:00,-40.5,45.63369413,1.337216897,117.210932,284.3978002,3.359547017,117.3378,0.378
20/07/201623:00:00,-30.2,48.39168072,1.393904467,118.406579,284.453782,3.069098373,118.6671,0.378
